tempo_ms,angulo_deg,u_pct,referencia
1805,0.41,-0.72,0.00
1814,0.41,-0.70,0.00
1824,0.41,-0.70,0.00
1835,0.41,-0.66,0.00
1845,0.41,-0.69,0.00
1854,0.40,-0.72,0.00
1864,0.41,-0.76,0.00
1875,0.41,-0.74,0.00
1885,0.41,-0.70,0.00
1895,0.41,-0.74,0.00
1904,0.40,-0.69,0.00
1915,0.40,-0.70,0.00
1925,0.40,-0.71,0.00
1935,0.40,-0.76,0.00
1944,0.40,-0.76,0.00
1954,0.40,-0.77,0.00
1965,0.40,-0.72,0.00
1975,0.40,-0.72,0.00
1985,0.40,-0.75,0.00
1994,0.40,-0.77,0.00
2005,0.40,-0.75,0.00
2015,0.40,-0.71,0.00
2025,0.40,-0.77,0.00
2034,0.39,-0.74,0.00
2045,0.39,-0.74,0.00
2055,0.39,-0.78,0.00
2065,0.39,-0.79,0.00
2075,0.40,-0.81,0.00
2085,0.40,-0.77,0.00
2095,0.39,-0.75,0.00
2105,0.39,-0.79,0.00
2115,0.39,-0.77,0.00
2125,0.39,-0.80,0.00
2135,0.40,-0.81,0.00
2145,0.40,-0.81,0.00
2155,0.40,-0.78,0.00
2165,0.40,-0.82,0.00
2175,0.40,-0.81,0.00
2185,0.40,-0.79,0.00
2195,0.40,-0.81,0.00
2205,0.39,-0.77,0.00
2216,0.40,-0.83,0.00
2225,0.39,-0.81,0.00
2235,0.39,-0.79,0.00
2245,0.39,-0.82,0.00
2256,0.39,-0.85,0.00
2265,0.40,-0.85,0.00
2275,0.40,-0.91,0.00
2285,0.40,-0.84,0.00
2295,0.40,-0.81,0.00
2306,0.40,-0.85,0.00
2315,0.40,-0.83,0.00
2325,0.40,-0.81,0.00
2335,0.40,-0.86,0.00
2346,0.40,-0.81,0.00
2356,0.40,-0.88,0.00
2365,0.39,-0.80,0.00
2375,0.39,-0.84,0.00
2386,0.39,-0.86,0.00
2396,0.39,-0.81,0.00
2405,0.39,-0.89,0.00
2415,0.39,-0.85,0.00
2425,0.39,-0.90,0.00
2436,0.39,-0.89,0.00
2446,0.39,-0.88,0.00
2455,0.40,-0.91,0.00
2465,0.40,-0.92,0.00
2476,0.40,-0.85,0.00
2486,0.40,-0.86,0.00
2496,0.40,-0.89,0.00
2505,0.40,-0.89,0.00
2516,0.40,-0.89,0.00
2526,0.39,-0.80,0.00
2536,0.39,-0.91,0.00
2545,0.39,-0.90,0.00
2556,0.39,-0.88,0.00
2566,0.39,-0.90,0.00
2576,0.39,-0.91,0.00
2586,0.39,-0.94,0.00
2595,0.39,-0.88,0.00
2606,0.39,-0.88,0.00
2616,0.39,-0.92,0.00
2626,0.39,-0.90,0.00
2635,0.39,-0.91,0.00
2646,0.39,-0.98,0.00
2656,0.39,-0.95,0.00
2666,0.39,-0.98,0.00
2676,0.39,-0.90,0.00
2686,0.39,-0.89,0.00
2696,0.39,-0.91,0.00
2706,0.39,-0.99,0.00
2716,0.39,-0.96,0.00
2727,0.39,-0.93,0.00
2736,0.39,-0.95,0.00
2746,0.39,-0.93,0.00
2756,0.39,-0.94,0.00
2766,0.39,-0.97,0.00
2776,0.39,-0.97,0.00
2786,0.39,-0.99,0.00
2796,0.39,-1.01,0.00
2806,0.40,-1.03,0.00
2817,0.40,-0.99,0.00
2826,0.40,-1.00,0.00
2836,0.40,-1.00,0.00
2846,0.40,-0.97,0.00
2857,0.40,-1.02,0.00
2866,0.40,-0.94,0.00
2876,0.40,-0.96,0.00
2886,0.40,-0.96,0.00
2897,0.40,-0.97,0.00
2907,0.39,-0.97,0.00
2916,0.40,-1.02,0.00
2926,0.40,-1.01,0.00
2936,0.40,-1.01,0.00
2947,0.39,-0.97,0.00
2957,0.39,-1.01,0.00
2966,0.39,-1.01,0.00
2976,0.40,-1.06,0.00
2987,0.40,-1.08,0.00
2997,0.40,-1.05,0.00
3006,0.40,-1.10,0.00
3016,0.41,-1.06,0.00
3027,0.41,-1.06,0.00
3037,0.41,-1.05,0.00
3047,0.41,-1.05,0.00
3056,0.41,-1.07,0.00
3067,0.41,-1.02,0.00
3077,0.41,-1.02,0.00
3087,0.41,-1.07,0.00
3097,0.41,-1.08,0.00
3106,0.41,-1.05,0.00
3117,0.41,-1.09,0.00
3127,0.41,-1.08,0.00
3137,0.41,-1.07,0.00
3146,0.41,-1.08,0.00
3157,0.41,-1.09,0.00
3167,0.41,-1.07,0.00
3177,0.41,-1.03,0.00
3187,0.41,-1.10,0.00
3197,0.41,-1.13,0.00
3207,0.41,-1.05,0.00
3217,0.41,-1.07,0.00
3227,0.41,-1.15,0.00
3238,0.42,-1.12,0.00
3247,0.41,-1.03,0.00
3257,0.41,-1.08,0.00
3267,0.41,-1.08,0.00
3277,0.41,-1.07,0.00
3287,0.41,-1.10,0.00
3297,0.41,-1.16,0.00
3307,0.41,-1.18,0.00
3317,0.41,-1.09,0.00
3328,0.41,-1.10,0.00
3337,0.41,-1.11,0.00
3347,0.41,-1.05,0.00
3357,0.40,-1.07,0.00
3368,0.41,-1.14,0.00
3377,0.41,-1.13,0.00
3387,0.41,-1.12,0.00
3397,0.41,-1.16,0.00
3408,0.41,-1.12,0.00
3418,0.40,-1.10,0.00
3427,0.40,-1.14,0.00
3437,0.40,-1.13,0.00
3447,0.40,-1.16,0.00
3458,0.40,-1.17,0.00
3467,0.40,-1.16,0.00
3477,0.41,-1.17,0.00
3487,0.41,-1.20,0.00
3498,0.41,-1.17,0.00
3508,0.41,-1.20,0.00
3517,0.41,-1.18,0.00
3527,0.41,-1.16,0.00
3538,0.41,-1.15,0.00
3548,0.41,-1.17,0.00
3558,0.41,-1.15,0.00
3567,0.41,-1.17,0.00
3577,0.40,-1.14,0.00
3588,0.40,-1.14,0.00
3598,0.40,-1.20,0.00
3607,0.40,-1.17,0.00
3617,0.40,-1.17,0.00
3628,0.40,-1.12,0.00
3638,0.39,-1.11,0.00
3648,0.39,-1.18,0.00
3657,0.39,-1.18,0.00
3668,0.39,-1.15,0.00
3678,0.39,-1.23,0.00
3688,0.39,-1.21,0.00
3697,0.39,-1.27,0.00
3708,0.39,-1.17,0.00
3718,0.39,-1.19,0.00
3728,0.39,-1.17,0.00
3738,0.39,-1.18,0.00
3747,0.39,-1.18,0.00
3758,0.38,-1.18,0.00
3768,0.39,-1.25,0.00
3778,0.39,-1.24,0.00
3788,0.39,-1.30,0.00
3798,0.39,-1.25,0.00
3808,0.39,-1.23,0.00
3818,0.39,-1.27,0.00
3828,0.39,-1.25,0.00
3838,0.39,-1.24,0.00
3848,0.39,-1.23,0.00
3858,0.39,-1.25,0.00
3868,0.39,-1.30,0.00
3879,0.39,-1.26,0.00
3888,0.39,-1.21,0.00
3898,0.39,-1.22,0.00
3908,0.39,-1.24,0.00
